year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,7536,3,307,1,7,5,1,6,4,0,0,2,42.0,3,1,5,2
2018,7537,5,506,10,7,5,1,7,4,0,0,0,42.0,3,2,5,2
2018,7538,1,102,9,7,7,3,7,7,0,0,7,61.0,3,2,5,2
2018,7539,3,304,2,7,7,0,7,4,3,0,7,50.5,3,1,5,2
2018,7540,4,403,3,7,7,0,7,2,2,3,0,57.0,3,2,6,2
2018,7541,3,301,2,7,7,0,0,3,0,0,0,36.5,3,2,3,1
2018,7542,2,207,4,7,7,0,7,7,3,0,7,52.0,3,2,5,2
2018,7543,5,502,11,7,7,0,3,0,0,0,1,38.5,3,1,3,1
2018,7544,2,202,5,7,7,0,0,0,0,0,2,36.0,3,1,2,1
2018,7545,4,403,3,7,7,0,5,3,0,0,0,41.5,3,2,4,1
2018,7546,4,402,4,7,7,0,7,3,0,0,1,44.0,3,2,4,1
2018,7547,2,206,5,7,7,0,4,7,0,0,4,44.5,3,2,4,1
2018,7548,4,402,4,7,7,0,7,3,0,0,1,44.0,3,2,4,1
2018,7549,5,505,10,7,7,0,6,3,0,0,0,42.5,3,2,4,1
2018,7550,5,505,10,7,7,0,4,0,0,0,0,39.0,3,1,3,1
2018,7551,5,507,8,7,7,0,6,7,1,2,5,56.0,3,1,6,2
2018,7552,3,307,1,7,3,0,6,5,1,0,0,32.5,2,3,5,2
2018,7553,3,306,1,7,6,0,7,7,6,0,7,52.0,3,2,5,2
2018,7554,5,502,11,7,6,1,4,3,7,7,4,78.5,3,2,7,3
2018,7555,5,507,8,7,7,7,7,7,3,0,7,80.0,3,2,6,2
2018,7556,5,503,9,7,2,0,1,2,0,0,1,22.5,2,3,4,1
2018,7557,4,403,3,7,7,0,5,3,0,0,0,41.5,3,2,4,1
2018,7558,3,307,1,7,7,1,7,7,0,0,0,49.5,3,2,5,2
2018,7559,5,502,7,7,7,0,3,2,3,0,0,42.0,3,2,5,2
2018,7560,4,404,6,7,3,0,3,0,0,0,0,26.0,2,3,3,1
2018,7561,4,403,3,7,7,0,3,2,1,0,0,40.0,3,1,5,2
2018,7562,5,501,10,7,7,0,0,7,7,0,0,45.5,3,2,4,1
2018,7563,2,203,2,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,7564,1,101,0,7,7,0,4,3,3,0,3,45.0,3,2,5,2
2018,7565,4,402,6,7,6,0,7,2,0,0,0,40.0,3,2,4,1
2018,7566,5,507,8,7,4,0,5,0,0,0,0,31.0,2,3,3,1
2018,7567,5,505,12,7,5,0,7,1,0,2,0,44.5,3,2,5,2
2018,7568,4,402,6,7,3,0,3,0,0,0,0,26.0,2,2,3,1
2018,7569,2,202,5,7,2,0,7,0,0,0,0,27.0,2,2,3,1
2018,7570,3,304,3,7,4,0,5,2,0,0,0,32.0,2,3,4,1
2018,7571,3,301,2,7,6,0,7,3,0,0,0,40.5,3,1,4,1
2018,7572,5,506,10,7,5,0,7,2,0,0,7,40.5,3,2,4,1
2018,7573,4,402,4,7,7,0,7,3,2,0,2,46.5,3,2,5,2
