year,hhid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,o_fcs
2018,uuid:93b956ee-1a0a-4d0c-b68b-c3e1648624f8,3,305,4,6,6,0,6,1,0,0,0,36.5
2018,uuid:e6bebef9-3db1-4ccc-9489-056e8940bc0a,3,307,1,6,6,0,4,4,0,0,0,36.0
2018,uuid:a4d73b49-fb40-4753-8c2c-b2d1449f677f,3,305,4,6,7,0,3,2,1,3,3,51.5
2018,uuid:0fe71cac-cada-4015-a2b2-f0836c7e950c,2,208,5,6,6,2,7,7,0,7,7,80.0
2018,uuid:9370b9e7-704f-4ece-98f3-4e40d66a985e,2,208,5,7,7,1,7,7,7,7,0,84.5
2018,uuid:140154bc-f27f-4dd8-b617-27442a13f1f5,3,304,3,7,7,2,5,7,3,3,2,67.5
2018,uuid:4fd8be15-fcab-4835-b16b-1232ef6f2cfc,4,405,7,7,7,1,7,7,3,7,7,84.0
2018,uuid:bdbd94bb-e798-4cc9-b146-e84eb863a72d,5,506,10,7,7,2,3,4,1,0,7,52.5
2018,uuid:0d448cea-2ed2-4ec0-b263-8086d6d5fe1f,2,202,5,7,7,7,7,7,7,0,7,84.0
2018,uuid:afe1ed0a-ec55-4f5c-ad7b-bebfbdcdd922,4,402,4,7,7,0,7,3,4,2,7,59.0
2018,uuid:b7ab54d1-1a84-47f0-b75b-49e160b4a442,4,403,3,7,7,2,7,7,0,7,7,85.0
2018,uuid:2e9dbe2b-3fa9-4753-b38f-084a8f02020e,3,307,1,7,5,0,7,7,2,3,3,55.0
2018,uuid:0a3d3eca-2910-43ee-b489-ba07c8b30744,2,206,5,7,7,0,0,7,0,7,7,70.0
2018,uuid:d57ef0f0-8fa1-4d8b-bec6-a5c4a6a5e08c,5,506,10,7,6,0,6,3,0,0,5,42.0
2018,uuid:31b40813-1c28-421b-befc-76b481b0bde8,3,304,2,7,7,0,5,3,5,4,0,62.5
2018,uuid:2d8bcd4d-b458-40ae-9f70-23289b3bb343,3,305,4,7,7,0,4,7,0,2,7,54.0
2018,uuid:a119e5b6-18ad-4002-8c25-7a3e120e8730,2,205,2,7,7,0,7,7,0,0,0,45.5
2018,uuid:b487258d-565b-43f6-8957-2b595dd6fce4,5,504,10,7,7,0,7,7,0,0,3,47.0
2018,uuid:c18b7305-ea3e-408a-91d2-4dd58dacb426,4,404,6,7,7,1,7,4,7,0,3,56.5
2018,uuid:23be9c0b-5705-4da6-a639-426d359a881e,3,303,3,7,7,1,6,7,0,3,7,64.0
2018,uuid:4e011b07-f51b-4574-8eb4-8cb505f8a23e,4,405,7,7,7,0,4,3,1,0,0,41.5
2018,uuid:d7080b3c-4a0b-4be4-a6c0-c9e7fdeaf5ed,4,405,9,7,7,0,4,0,1,0,5,42.5
2018,uuid:4688c093-c45d-41a1-b379-c3dd1cb4c2d2,4,403,3,7,7,0,7,7,0,0,0,45.5
2018,uuid:380f1c94-de45-47c7-a604-9d1386132721,3,306,1,7,5,2,7,7,4,4,7,71.0
2018,uuid:fff27cae-6bb8-407c-8a1b-635bdca2b7af,2,208,5,7,7,0,7,3,3,0,4,48.5
2018,uuid:2f283e05-0efc-4aed-9728-7e549046bb48,4,404,6,7,7,0,3,2,0,0,0,39.0
2018,uuid:2ddc70d7-ce27-4b3a-9c76-424fbee5a459,2,205,2,7,7,2,7,7,0,0,3,55.0
2018,uuid:d0419c1d-1fee-4dc9-ae02-717b8156d946,3,305,4,7,3,1,4,3,0,0,0,32.5
2018,uuid:61ce39c2-152f-4877-a655-eaebe9a912ec,2,207,5,7,7,3,7,7,4,3,7,77.0
2018,uuid:d902e1ae-da8e-4573-914c-89a78b4453ad,2,205,4,7,7,0,7,7,0,0,2,46.5
2018,uuid:9b68b5f8-09ed-47a7-9953-b2c1bd354638,2,203,4,7,5,0,1,5,0,2,0,40.5
2018,uuid:96550f7a-9be4-4be2-b4d2-99e3734a621f,2,205,4,7,7,0,7,1,0,0,0,42.5
2018,uuid:b9246f5c-091e-4b1e-90b0-c1ed669265c9,3,302,1,7,4,0,7,7,0,1,0,40.5
2018,uuid:da5bbc02-a5dc-4087-b4cf-c52c6e3096f3,3,307,2,7,7,0,3,4,1,1,3,46.5
2018,uuid:16a4ceef-c25f-4367-bbc0-b24e59020947,2,206,5,7,7,0,7,7,3,2,4,58.5
2018,uuid:058e7ac1-fac9-43b8-b2ad-fd8416b6daa2,4,404,6,7,7,0,7,0,0,0,0,42.0
2018,uuid:3d053241-ab17-41f3-a078-a85f4507f149,4,402,4,7,7,0,7,0,0,0,5,44.5
2018,uuid:bfa8f3fc-2ceb-4458-b533-37fdcc16a50c,3,307,1,7,6,0,6,5,1,0,2,42.5
2018,uuid:8f630e69-d4e5-477a-a038-ad6c87815b6f,2,207,5,7,7,0,4,5,1,0,1,43.0
2018,uuid:0610dc11-f285-49d1-a131-c4d3a53cdedb,2,203,4,7,7,1,7,7,0,2,0,57.5
