year,hhid,province,district,sector,maize,sorghum,cereals,cassava,sweet_potato,roots,bread,carrot_tubers,cooking_banana,beans_peas,cassava_leaves,vegetables,other_vegetables,ground_nuts,fruits,other_fruits,fish,organ_meat,flesh_meat,eggs,oil,sugar,milk,condiments,o_fcs
2012,9550,EAST,BUGESERA,MUSENYI,3,0,0,5,6,0,0,0,6,7,7,0,0,7,1,0,1,1,0,0,7,1,7,7,83.0
2012,9534,EAST,BUGESERA,MUSENYI,0,3,0,2,3,0,0,0,3,7,6,0,0,4,0,0,0,1,0,0,6,3,0,7,49.5
2012,9533,EAST,BUGESERA,MUSENYI,3,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,7,7,0,7,27.0
2012,9552,EAST,BUGESERA,MUSENYI,3,0,0,4,1,0,0,0,2,6,0,0,0,3,0,0,0,0,0,0,2,0,0,5,36.0
2012,9537,EAST,BUGESERA,MUSENYI,3,0,0,0,4,2,0,0,0,4,5,0,0,2,0,1,0,0,0,0,6,0,0,6,41.0
2012,9536,EAST,BUGESERA,MUSENYI,2,0,0,4,1,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,5,35.0
2012,9547,EAST,BUGESERA,MUSENYI,3,1,0,3,3,0,0,0,2,5,0,0,0,3,0,0,0,0,0,2,3,1,0,6,45.0
2012,9560,EAST,BUGESERA,MUSENYI,4,7,0,2,0,0,0,0,1,6,7,0,0,0,0,0,0,0,0,0,3,0,0,7,40.5
2012,9559,EAST,BUGESERA,MUSENYI,3,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26.0
2012,9565,EAST,BUGESERA,MUSENYI,0,0,0,3,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,6,0,0,6,22.0
2012,9558,EAST,BUGESERA,MUSENYI,3,3,0,4,0,0,2,0,0,7,0,0,0,3,0,0,0,0,0,0,5,3,0,6,39.0
2012,9557,EAST,BUGESERA,MUSENYI,4,5,2,2,0,0,0,0,2,7,6,0,0,3,0,0,0,0,0,0,7,7,0,7,48.0
2012,9548,EAST,BUGESERA,MUSENYI,2,0,2,4,1,0,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,35.0
2012,9545,EAST,BUGESERA,MUSENYI,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,0,7,34.5
2012,9563,EAST,BUGESERA,MUSENYI,3,0,0,2,2,0,0,6,2,4,3,0,0,3,3,0,0,0,0,0,7,0,0,7,44.5
